Hot Spot,"""Time (microseconds)""","""Average Time (microseconds)""","""Events"""
"SELECT SUM(AMOUNT_PROCESSED),SERVICE_ID FROM TRANS_REQUESTS WHERE CARD_NO = ? AND STATEMENT_DATE = ? AND SERVICE_ID IN ('FIN_CHARGES','RF_FIN_CHARGES', 'DEF_FIN_CHARGES')  AND RESPONSE_CODE = '00' AND AMOUNT_PROCESSED < 0 GROUP BY SERVICE_ID",,,
"SELECT MIN(CARD_SRNO), MAX(CARD_SRNO) FROM CARDS WHERE card_category = 'C' AND IS_MAIN_CARD = 'Y' AND (card_status_atm NOT IN ('A') OR (CARD_STATUS_ATM = 'A' AND SRC_CARD_NO IS NOT NULL)) ",15563559,15563559,1
"UPDATE CARD_CREDIT_ATTRS SET SCHD_EXE_FLAG = ?, SCHD_EXE_DTIME = current, INTRO_APR_TRM_MNTH = ? WHERE CARD_SRNO = ? ",,,
"INSERT INTO CC_DAILY_FC_DETAILS (FC_DATE, APR_ID, CARD_SRNO, STATEMENT_DATE, effective_date_from, FC_CHARGES, delta_fc_charges, FC_METHOD_ID, PRIMARY_CARD_SRNO, IS_COMPOUND, BAL_SUBJECT_TO_FC, APR_VALUE, APR_LEVEL, INTRO_EXPIRY_DATE) VALUES(?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)",,,
"SELECT LEAST(MIN(DR_TR.TRANS_DATE), MIN(TR.TRANS_DATE))  FROM TRANS_REQUESTS TR, CC_TRNS_COLCTN_STATS CCS, TRANS_REQUESTS DR_TR  WHERE TR.CARD_NO IN (?) AND TR.STATEMENT_DATE = ? AND TR.AMOUNT_PROCESSED > 0 AND TR.RESPONSE_CODE = '00'  AND CCS.CR_TRANS_ID = TR.TRACE_AUDIT_NO AND CCS.DR_TRANS_ID = DR_TR.TRACE_AUDIT_NO and CCS.IS_ACTIVE = 'Y'",7935373,7927,1001
"SELECT FUNC_SET_CONNECTION_PROPERTIES(), dbinfo('sessionid') from systables where tabid = 1",,,
"SELECT C.CARD_NO, C.CARD_SRNO, CCA.CREDIT_LIMIT, CCA.CASH_ADV_LIMIT, CCA.OVERDRAFT_LIMIT, CCA.OVERDRAFT_APR, CCA.PENALITY_APR, CCA.NEXT_STMT_DATE, CCA.DAYS_OF_DUE_DATE, CCA.NCONS_NON_PAYMENTS, CCA.APPLY_PENALITY_APR, CCSS.STMT_STATUS, CCSS.STATEMENT_DATE, CCSS.STMT_BALANCE, CCSS.MIN_PAYMENT, CCSS.STMT_PAYMENT_AMT, C.CARD_PRG_ID, CCSS.CASH_ADV_BAL, CCSS.STMT_CA_PAYT_AMT, CCA.LAST_OD_FEE_ON, CCA.LAST_STMT_DATE, C.CREATED_ON, C.FIRST_ACT_ON, CCA.INTRO_APR_TRM_MNTH, CCA.STMT_DAY_OF_MONTH, CCSS.BILLING_CYCLE_NO, C.CARD_STATUS_ATM, CCSS.DUE_DATE, CMF.FOLLOWME_CARD_SRNO, C.SRC_CARD_NO, C.CARD_DETAIL_STATUS, CCSS.STMT_START_DATE, CCSS.STMT_CLOSING_DATE, CF.LEDGER_BALANCE, ( SELECT CARD_SRNO FROM CARDS WHERE CARD_NO = C.SRC_CARD_NO), PREV_STMT.STMT_STATUS PREV_STMT_STATUS, CCSS.PREV_STMT_DATE, PREV_STMT.STMT_BALANCE PREV_STMT_BALANCE, PREV_STMT.STMT_PAYMENT_AMT, CCA.STMT_INTRVL_DAYS, PREV_STMT.DUE_DATE  FROM CARD_CREDIT_ATTRS CCA INNER JOIN CARDS C ON C.CARD_SRNO = CCA.CARD_SRNO LEFT JOIN CC_STMT_STATS CCSS ON CCA.CARD_SRNO = CCSS.CARD_SRNO AND CCSS.STATEMENT_DATE = CCA.LAST_STMT_DATE LEFT JOIN CC_STMT_STATS PREV_STMT ON PREV_STMT.STATEMENT_DATE = CCSS.PREV_STMT_DATE AND PREV_STMT.CARD_SRNO = C.CARD_SRNO INNER JOIN CARD_MORE_INFOS CMF ON C.CARD_SRNO = CMF.CARD_SRNO LEFT JOIN CARD_FUNDS CF ON CF.CARD_NO = C.CARD_NO  WHERE C.PRIMARY_CARD_NO = ? AND C.IS_MAIN_CARD != 'Y' ",6943810,6936,1001
SELECT MIN (ORG_TR.TRANS_DATE) FROM TRANS_REQUESTS REV_TR JOIN TRANS_REQUESTS ORG_TR ON REV_TR.ORG_TRACE_AUDIT = ORG_TR.TRACE_AUDIT_NO WHERE REV_TR.CARD_NO IN (?) AND REV_TR.TRANS_DATE BETWEEN ? AND TODAY AND REV_TR.RESPONSE_CODE = '00' AND ((ORG_TR.REV_TRACE_AUDIT = REV_TR.TRACE_AUDIT_NO AND REV_TR.ORG_TRACE_AUDIT > 0 AND ORG_TR.REV_TRACE_AUDIT > 0 ) OR (REV_TR.SERVICE_ID = 'PROVISIONAL_CREDIT')),3712524,5451,681
"SELECT {+index (trans_requests trnrq_card_rsp_amt)} min(trans_date) FROM TRANS_REQUESTS WHERE CARD_NO IN (?) AND PAYMENT_STL_STATUS IN ('P','U') AND ISO_MESSAGE_TYPE[1,2] IN ('02','07') AND RESPONSE_CODE = '00' AND AMOUNT_PROCESSED < 0",3551982,3548,1001
"SELECT (SELECT CARD_SRNO FROM CARDS C WHERE C.CARD_NO = TR.CARD_NO) card_srno, tr.CARD_NO, tr.trans_date, tr.amount_processed, tr.is_cash_adv, tr.rev_trace_audit, tr.trace_audit_no, tr.iso_message_type, ta.transfer_date, tr.is_cc_payment_trns, tr.response_code, tr.org_trace_audit, tr.fee_trace_audit, tr.service_id, tr.adjusted_amt, tr.statement_date  FROM trans_requests tr  LEFT OUTER JOIN transfer_achs ta ON  TR.CARD_NO = TA.CARD_NO AND TR.TRACE_AUDIT_NO = TA.CR_TRACE_AUDIT_NO AND TA.ACH_TYPE IN('1', '3') AND TA.STATUS_ID = 'P'  WHERE tr.CARD_NO IN (?) AND trans_date BETWEEN ? AND ? AND tr.amount_processed <> 0.0 AND tr.response_code = '00' AND (tr.iso_message_type[1,2] in ('02', '07') OR tr.iso_message_type = '0420') ORDER BY CARD_SRNO, trans_date, trace_audit_no",3340506,4905,681
"SELECT LEAST(MIN(DR_TR.TRANS_DATE), MIN(TR.TRANS_DATE)) FROM TRANS_REQUESTS TR, CC_TRNS_COLCTN_STATS CCS, TRANS_REQUESTS DR_TR WHERE CCS.CR_TRANS_ID = TR.TRACE_AUDIT_NO AND CCS.DR_TRANS_ID = DR_TR.TRACE_AUDIT_NO AND CCS.CR_CARD_NO IN (?) AND CCS.ADJUSTED_DATE BETWEEN ? AND ? AND TR.AMOUNT_PROCESSED > 0 AND TR.RESPONSE_CODE = '00' AND CCS.IS_ACTIVE = 'Y'",2694033,3955,681
"SELECT PROCESSED_STS,REQ_ID,PROMO_ID,PURSE_CARD_NO,APPROVAL_STS,START_DATE,END_DATE,IS_ADMIN_APRVL_REQ,IS_CH_OPT_IN_REQ,SUBSCRIPTN_OPTION,IS_INST_ALLOWED,APR_OPTION,APR_RATE,APR_APPLY_TILL,APR_APPLY_VALUE,USE_CASE_ID,CH_REQ_AMT,CH_APPROVED_AMT,PROMO_PROCESS_FEE,CF.CARD_BALANCE, CF.LEDGER_BALANCE, OPT_IN_DATE,C.CARD_PRG_ID,C.CARD_SRNO, C.CARD_STATUS_ATM, LAST_APL_FC_DATE,ACCRUE_INTRST_FROM, DEFER_EXP_ACTIONS,CH_APR_TIER_MONTHS,APPROVAL_DTIME, CH_PROMO_NICK, DISPLAY_NAME, PR.UNPAID_AMT_FC_OPT,NON_PAY_OPTION,NON_PAY_VALUE,NON_PAY_ACTION,PROMO_EXEC_STS,APR_ID, terminate_date FROM PR_CARD_PROMOS PR, CARD_FUNDS CF, CARDS C WHERE PR.PURSE_CARD_NO = CF.CARD_NO AND PR.PURSE_CARD_NO = C.CARD_NO AND PR.CARD_SRNO IN (?) AND ((PR.PROCESSED_STS = ? AND PR.PROMO_EXEC_STS IN ('I','S','F')) or (PR.PROCESSED_STS = 'F' AND PR.PROMO_EXEC_STS IN ('F'))) AND PR.PURSE_CARD_NO IS NOT NULL;",2357934,3462,681
"SELECT DT.ORG_TRACE_AUDIT,DT.TRANS_AMOUNT,DT.DISPUTE_AMOUNT,TR.STATEMENT_DATE,DT.IS_PARTIAL_DISPUTE,DT.CARD_NO,TR.TRANS_DATE,'I', DT.IS_ADJUSTED, DT.DISPUTE_STATUS FROM DISPUTE_TRANS DT join TRANS_REQUESTS TR on DT.ORG_TRACE_AUDIT = TR.TRACE_AUDIT_NO WHERE DT.DISP_TYPE_CODE IN ('T') AND (DT.IS_ADJUSTED = 'N' OR (DT.DISPUTE_STATUS IN ('M','X','R','C'))) AND DT.CARD_NO IN (?)",1783710,2619,681
select fc_charges from cc_daily_fc_details where card_srno = ? and FC_DATE = ? and APR_ID = ? ,1663101,830,2002
"select * from system_parameters where param_id = UseSameCon4Bulk4APL""""",1304606,2019,646
"SELECT CARD_SRNO, APR_ID, APR_VALUE, EFFECTIVE_DATE_TYPE, EFFECTIVE_DATE, INTRO_APR_VALUE, INTRO_N_STMT_CYCLS, INTRO_START_FLAG, IS_ACTIVE, END_DATE FROM CARD_APR_PROFILE1S WHERE CARD_SRNO = ? AND IS_ACTIVE = 'Y' ORDER BY EFFECTIVE_DATE",1090201,1089,1001
SELECT STATEMENT_DATE FROM CC_STMT_STATS WHERE CARD_SRNO IN (?) ORDER BY STATEMENT_DATE,761267,760,1001
"SELECT BOT.BUSINES_OFFDAY_TYPE,CBO.OFFDAY_YEAR,BOT.WEEKLY_OFFDAYS,CBO.OFFDAY_DATE FROM BUSINES_OFFDAY_TYPS BOT INNER JOIN CAL_BUSINESS_OFFDAYS CBO ON CBO.OFFDAY_TYPE=BOT.BUSINES_OFFDAY_TYPE WHERE CBO.OFFDAY_YEAR IN (?,?) AND BOT.IS_ACTIVE='Y' AND CBO.IS_ACTIVE='Y' ORDER BY BOT.BUSINES_OFFDAY_TYPE",740870,1086,682
"SELECT APR_ID, CARD_SRNO, STATEMENT_DATE, FC_CHARGES, FC_METHOD_ID, PRIMARY_CARD_SRNO, IS_COMPOUND, BAL_SUBJECT_TO_FC, APR_VALUE, APR_LEVEL, EFFECTIVE_DATE_FROM, CALC_FC_CHARGES, INTRO_EXPIRY_DATE, IS_PRTL_GRC_PRVDD, IS_DEFERRED, IS_POSTED FROM CC_STMT_FC_DETAILS WHERE CARD_SRNO IN (?) AND STATEMENT_DATE = ? AND IS_DEFERRED = 'Y' AND IS_POSTED = 'N';",674497,990,681
"SELECT PARAM_ID, PARAM_VALUE FROM SYSTEM_PARAMETERS WHERE PARAM_ID IN (?)",554091,813,681
